res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
11283,Harajuku - The O Hotel,['Fine Dining'],https://www.zomato.com/pune/harajuku-the-o-hotel-koregaon-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The O Hotel, North Main Road, Koregaon Park, Pune",Pune,5,"The O Hotel, Koregaon Park",18.5402389743,73.8875184953,0,1,"The O Hotel, Koregaon Park, Pune","Japanese, Sushi","12:30 PM to 3 PM, 7:30 PM to 11:30 PM",4500,4,Rs.,"['Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Dinner', 'Indoor Seating', 'Table booking recommended', 'Valet Parking Available', 'Air Conditioned', 'Fullbar']",3.7,Good,96,38,0.0,-1,-1
10663,Mix@36 - The Westin,['Lounge'],https://www.zomato.com/pune/mix@36-the-westin-mundhwa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Westin, Survey 36/3B, KP Annexe Mundhwa Road, Mundhwa, Pune",Pune,5,"The Westin, Mundhwa",18.5400396662,73.905909732,411001,1,"The Westin, Mundhwa, Pune","Finger Food, Asian, Continental, North Indian","5 PM to 1 AM (Mon-Thu, Sun), 5 PM to 2 AM (Fri-Sat)",4200,4,Rs.,"['Cash', 'Debit Card', 'Serves Alcohol', 'Takeaway Available', 'Dinner', 'Credit Card', 'Above 18 Only', 'Live Sports Screening', 'Outdoor Seating', 'Table reservation required', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Valet Parking Available', 'Live Music', 'Air Conditioned', 'Nightlife', 'Beer', 'LGBTQIA Friendly']",4.0,Very Good,682,78,0.0,-1,-1
10743,Kangan - The Westin,['Fine Dining'],https://www.zomato.com/pune/kangan-the-westin-mundhwa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Westin, 36/3B, KP Annexe, Mundhwa Road, Mundhwa, Pune",Pune,5,"The Westin, Mundhwa",18.5394554094,73.90604015439999,411001,1,"The Westin, Mundhwa, Pune","Mughlai, North Indian","6:30pm â 11:30pm (Mon-Fri),12:30pm â 3:30pm, 6:30pm â 11:30pm (Sat-Sun)",4000,4,Rs.,"['Serves Alcohol', 'Cash', 'Debit Card', 'Takeaway Available', 'Dinner', 'Credit Card', 'Air Conditioned', 'Wheelchair Accessible', 'Fullbar', 'Outdoor Seating', 'Luxury Dining', 'Table booking recommended', 'Valet Parking Available', 'Indoor Seating']",4.0,Very Good,310,285,0.0,-1,-1
18938162,Palette - The Westin,['Fine Dining'],https://www.zomato.com/pune/palette-the-westin-mundhwa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Westin, 36/3B, KP Annexe, Mundhwa Road, Mundhwa, Pune",Pune,5,"The Westin, Mundhwa",18.5394296613,73.9060089737,,1,"The Westin, Mundhwa, Pune","Asian, Continental",6:30 PM to 11:30 PM,4000,4,Rs.,"['Serves Alcohol', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Dinner', 'Table booking recommended', 'Air Conditioned', 'Luxury Dining', 'DJ', 'Fullbar', 'Beer', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted', 'Smoking Area', 'Valet Parking Available', 'Wine', 'Live Music', 'Serves Cocktails']",3.3,Average,9,31,0.0,-1,-1
18310167,Coriander Kitchen - Conrad Pune,['Fine Dining'],https://www.zomato.com/pune/coriander-kitchen-conrad-pune-bund-garden?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Conrad, Mangaldas Road, Bund Garden Road, Pune",Pune,5,"Conrad Pune, Bund Garden Road",18.5354091058,73.8835917413,,1,"Conrad Pune, Bund Garden Road, Pune","North Indian, Asian, Mediterranean","6 AM to 11:30 PM (Mon-Thu, Sun), 6 AM to 12:30 AM (Fri-Sat)",3200,4,Rs.,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Breakfast', 'Free Parking', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Disabled Friendly', 'Luxury Dining', 'Wheelchair Accessible', 'Serves Jain Food', 'Brunch', 'Valet Parking Available', 'Outdoor Seating', 'Romantic Dining', 'Free Wifi', 'Restricted Entry', 'Kid Friendly', 'Smoking Area', 'Wifi', 'Gluten Free Options', 'Vegan Options', 'Buffet']",4.4,Very Good,500,1116,0.0,-1,-1
11264,Baan Tao - Hyatt Pune,['Fine Dining'],https://www.zomato.com/pune/baan-tao-hyatt-pune-kalyani-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hyatt Pune, Adjacent to Aga Khan Palace, Nagar Road, Kalyani Nagar, Pune",Pune,5,"Hyatt Pune, Nagar Road",18.5539658756,73.90461388979999,0,1,"Hyatt Pune, Nagar Road, Pune","Chinese, Thai, Vietnamese, Malaysian, Asian, Salad","12:30 PM to 3 PM, 7 PM to 11:30 PM",3000,4,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Credit Card', 'Valet Parking Available', 'Outdoor Seating', 'Romantic Dining', 'Table booking recommended', 'Wheelchair Accessible', 'Brunch', 'Sneakpeek', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Buffet']",4.4,Very Good,718,1275,0.0,-1,-1
11162,Alto Vino - JW Marriott Pune,['Fine Dining'],https://www.zomato.com/pune/alto-vino-jw-marriott-pune-senapati-bapat-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"JW Marriott, Senapati Bapat Road, Pune",Pune,5,"JW Marriott Pune, Senapati Bapat Road",18.5317610246,73.8297007978,0,1,"JW Marriott Pune, Senapati Bapat Road, Pune","Italian, Salad","12:30 PM to 3 PM, 7 PM to 11:30 PM (Mon-Sun)",3000,4,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Credit Card', 'Fullbar', 'Romantic Dining', 'Table booking recommended', 'Brunch', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Buffet']",4.4,Very Good,652,352,0.0,-1,-1
6505646,Feast - Sheraton Grand,['Fine Dining'],https://www.zomato.com/pune/feast-sheraton-grand-bund-garden?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sheraton Grand, Raja Bahadur Mill Road, Bund Garden Road, Pune",Pune,5,"Sheraton Grand, Bund Garden Road",18.5299162917,73.8715425879,,1,"Sheraton Grand, Bund Garden Road, Pune","North Indian, Asian, European",24 Hours,3000,4,Rs.,"['Credit Card', 'Debit Card', 'Lunch', 'Breakfast', 'Dinner', 'Cash', 'Brunch', 'Live Sports Screening', 'Fullbar', '4/5 Star', 'Air Conditioned', 'Luxury Dining', 'Buffet', 'Desserts and Bakes', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Wifi']",4.4,Very Good,520,1304,0.0,-1,-1
18413757,The House Of Medici - The Westin,['Lounge'],https://www.zomato.com/pune/the-house-of-medici-the-westin-mundhwa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Westin, 36/3B, Mundhwa Road, Mundhwa Annexe, Mundhwa, Pune",Pune,5,"The Westin, Mundhwa",18.5394296613,73.9060089737,411001,1,"The Westin, Mundhwa, Pune","Asian, Continental","7:30 PM to 1:30 AM (Wed-Sat), Mon, Tue & Sun Closed",3000,4,Rs.,"['Dinner', 'Serves Alcohol', 'Cash', 'Debit Card', 'Credit Card', 'DJ', 'Nightlife', 'Fullbar', 'Beer', 'Indoor Seating', 'Table reservation required', 'Digital Payments Accepted', 'Wifi', 'Live Entertainment', 'Valet Parking Available', 'Wine', 'Live Music', 'Serves Cocktails', '4/5 Star', 'Above 18 Only', 'Restricted Entry', 'Air Conditioned', 'Smoking Area']",3.9,Good,257,298,0.0,-1,-1
18310169,Koji - Conrad Pune,['Fine Dining'],https://www.zomato.com/pune/koji-conrad-pune-bund-garden?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Conrad, Mangaldas Road, Bund Garden Road, Pune",Pune,5,"Conrad Pune, Bund Garden Road",18.5354863517,73.8835578784,,1,"Conrad Pune, Bund Garden Road, Pune","Chinese, Japanese, Thai","12:30PM to 3:30PM, 7PM to 11:30PM (Mon-Fri),12:30PM to 3:30PM, 7PM to 12Midnight (Sat),7PM to 12Midnight (Sun)",3000,4,Rs.,"['Lunch', 'Serves Alcohol', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Fullbar', 'Air Conditioned', 'Luxury Dining', 'Indoor Seating', 'Table booking recommended', 'Wifi']",4.2,Very Good,185,242,0.0,-1,-1
